year,sector_1,sector_2,pearson_corr
2001,Technology,Financials,0.6586
2001,Technology,Healthcare,0.1082
2001,Technology,Energy,-0.0053
2001,Technology,ConsumerDiscret,0.6284
2001,Technology,ConsumerStaples,0.214
2001,Technology,Industrials,0.5545
2001,Technology,Materials,0.3457
2001,Technology,Utilities,-0.093
2001,Technology,RealEstate,0.4074
2001,Technology,Communication,0.4551
2001,Financials,Healthcare,0.3228
2001,Financials,Energy,0.1554
2001,Financials,ConsumerDiscret,0.6701
2001,Financials,ConsumerStaples,0.3692
2001,Financials,Industrials,0.7243
2001,Financials,Materials,0.5158
2001,Financials,Utilities,0.0415
2001,Financials,RealEstate,0.4462
2001,Financials,Communication,0.5624
2001,Healthcare,Energy,0.3625
2001,Healthcare,ConsumerDiscret,0.3196
2001,Healthcare,ConsumerStaples,0.5622
2001,Healthcare,Industrials,0.5157
2001,Healthcare,Materials,0.5065
2001,Healthcare,Utilities,0.2918
2001,Healthcare,RealEstate,0.2336
2001,Healthcare,Communication,0.3336
2001,Energy,ConsumerDiscret,0.1296
2001,Energy,ConsumerStaples,0.1845
2001,Energy,Industrials,0.3546
2001,Energy,Materials,0.34
2001,Energy,Utilities,0.3714
2001,Energy,RealEstate,0.1186
2001,Energy,Communication,0.1161
2001,ConsumerDiscret,ConsumerStaples,0.4366
2001,ConsumerDiscret,Industrials,0.7063
2001,ConsumerDiscret,Materials,0.5806
2001,ConsumerDiscret,Utilities,0.047
2001,ConsumerDiscret,RealEstate,0.4624
2001,ConsumerDiscret,Communication,0.5428
2001,ConsumerStaples,Industrials,0.5233
2001,ConsumerStaples,Materials,0.4707
2001,ConsumerStaples,Utilities,0.2467
2001,ConsumerStaples,RealEstate,0.1908
2001,ConsumerStaples,Communication,0.4069
2001,Industrials,Materials,0.7013
2001,Industrials,Utilities,0.1826
2001,Industrials,RealEstate,0.4229
2001,Industrials,Communication,0.5395
2001,Materials,Utilities,0.1672
2001,Materials,RealEstate,0.4011
2001,Materials,Communication,0.461
2001,Utilities,RealEstate,0.0255
2001,Utilities,Communication,0.0812
